PM 2.5,PM 10,CO,CO2
60.4,70.5,1.49823,403.48392
60.7,72.7,1.49091,403.46469
59.2,72.7,1.52039,403.43283
60.4,72.7,1.50928,403.46469
60.0,71.3,1.56929,403.46469
59.5,69.4,1.50928,403.4519
60.4,70.4,1.50928,403.45831
59.7,69.3,1.49091,403.43918
58.1,67.1,1.49091,403.23462
55.5,65.8,1.47997,403.32632
57.4,69.8,1.49457,403.41382
55.8,66.5,1.50191,403.36359
54.9,65.8,1.48361,403.42017
56.4,66.0,1.49457,403.35736
55.6,66.4,1.50191,403.35114
56.6,65.9,1.50191,403.27103
54.5,65.9,1.49457,403.42648
52.2,62.2,1.49457,403.41382
54.7,65.5,1.50559,403.36359
54.7,65.0,1.50559,403.35736
53.6,63.6,1.48361,403.33871
54.6,66.2,1.49823,403.27103
51.2,59.5,1.45829,403.26495
52.1,61.8,1.47271,403.27103
49.0,58.3,1.45829,403.25885
51.2,61.1,1.49823,403.26495
51.6,60.1,1.45112,403.27103
47.5,57.5,1.48361,403.19852
50.2,60.0,1.4691,403.22253
49.5,59.5,1.48361,403.21051
50.6,58.3,1.47997,403.19254
49.7,58.9,1.4691,403.2045
46.9,55.8,1.44042,403.26495
50.4,59.3,1.47997,403.25885
49.1,59.1,1.45829,403.22253
48.9,58.1,1.42272,403.1687
49.4,59.1,1.47997,403.21051
47.2,57.5,1.43687,403.23462
47.1,57.2,1.44042,403.21652
46.1,55.3,1.44398,403.24066
45.4,54.9,1.42978,403.25278
46.1,55.2,1.42625,403.19254
45.6,54.1,1.41921,403.21652
45.2,53.6,1.44755,403.15091
44.7,55.4,1.42625,403.19852
44.2,51.8,1.42978,403.15091
43.0,53.5,1.42978,403.17465
42.4,49.8,1.40869,403.1687
39.8,47.5,1.49823,403.14499
43.4,50.9,1.42978,403.17465
44.6,53.5,1.42272,403.12732
42.5,50.5,1.36726,403.1687
43.6,51.9,1.40172,403.1806
43.4,53.0,1.40172,403.17465
42.1,52.3,1.41219,403.15683
41.7,50.1,1.38096,403.15683
38.2,45.3,1.41921,403.18655
41.4,50.3,1.36386,403.1156
41.8,47.5,1.38096,403.14499
41.7,49.9,1.36045,403.1806
41.7,49.6,1.35029,403.1687
40.4,48.8,1.38785,403.14499
39.8,48.1,1.37753,403.1156
